CustomerID;Segment_Name;Recency;Frequency;Monetary;Cluster
15039.0;High Value;9;42;19914.439999999966;3
17966.0;Dormant / At Risk;37;4;1098.43;0
16553.0;Regular Customers;163;6;5719.819999999999;2
17955.0;Regular Customers;198;3;557.3;2
13178.0;VIP / Loyalists;26;11;5725.470000000003;4
12985.0;Dormant / At Risk;0;2;1239.38;0
16557.0;Dormant / At Risk;24;2;281.84999999999997;0
17786.0;Dormant / At Risk;85;2;278.74;0
13259.0;Dormant / At Risk;61;1;292.3199999999999;0
14349.0;Dormant / At Risk;10;1;133.50000000000006;0
12891.0;Regular Customers;185;3;331.0;2
16982.0;Dormant / At Risk;60;1;384.06;0
14542.0;Regular Customers;185;1;103.25000000000001;2
13514.0;Dormant / At Risk;73;1;152.20000000000002;0
16917.0;Regular Customers;276;1;391.5200000000001;2
13067.0;Dormant / At Risk;82;1;115.46000000000002;0
15891.0;Regular Customers;226;1;524.52;2
15396.0;Dormant / At Risk;112;1;288.17999999999995;0
14722.0;Regular Customers;147;1;187.91999999999996;2
13860.0;Dormant / At Risk;1;4;1245.9000000000003;0
14517.0;Dormant / At Risk;33;2;330.45;0
16418.0;Dormant / At Risk;44;3;675.2700000000002;0
17536.0;Regular Customers;177;1;76.5;2
14532.0;Regular Customers;236;4;932.8499999999997;2
17812.0;Dormant / At Risk;12;4;732.1600000000001;0
17932.0;Dormant / At Risk;29;3;1331.5699999999997;0
16281.0;Dormant / At Risk;72;1;2062.06;0
13827.0;Dormant / At Risk;57;3;412.0499999999998;0
13499.0;Dormant / At Risk;17;5;1159.11;0
17353.0;Dormant / At Risk;129;2;1740.0;0
15667.0;Dormant / At Risk;39;1;301.32000000000005;0
16083.0;Dormant / At Risk;100;2;1317.6200000000003;0
16584.0;Dormant / At Risk;80;2;936.0799999999999;0
15016.0;Regular Customers;172;1;170.04;2
15145.0;Dormant / At Risk;4;4;1194.7300000000005;0
15070.0;Regular Customers;372;1;106.2;2
17905.0;Dormant / At Risk;71;4;800.24;0
13933.0;Dormant / At Risk;109;2;608.7899999999998;0
16838.0;Regular Customers;197;2;588.8500000000001;2
17309.0;Dormant / At Risk;95;1;82.75;0
13533.0;Regular Customers;182;2;270.79000000000013;2
15002.0;Dormant / At Risk;115;4;1641.7599999999998;0
18085.0;Regular Customers;330;2;689.95;2
14067.0;Dormant / At Risk;63;2;374.69999999999993;0
17157.0;Dormant / At Risk;7;2;319.0;0
14727.0;Regular Customers;274;1;268.58;2
16351.0;Regular Customers;332;1;153.9;2
14860.0;Dormant / At Risk;19;1;170.32000000000002;0
13832.0;Dormant / At Risk;19;1;52.199999999999996;0
15275.0;Dormant / At Risk;37;1;615.1399999999999;0
13213.0;Dormant / At Risk;56;4;1520.5800000000004;0
17450.0;Occasional Buyers;8;27;194550.79000000007;1
13397.0;Dormant / At Risk;72;5;1544.1299999999997;0
17377.0;VIP / Loyalists;23;20;4100.919999999995;4
15187.0;VIP / Loyalists;1;14;4777.180000000001;4
16718.0;Regular Customers;369;1;623.7500000000002;2
15543.0;Regular Customers;288;1;127.85999999999999;2
12913.0;Dormant / At Risk;4;5;2483.6299999999997;0
16997.0;Regular Customers;288;3;702.0;2
18121.0;Regular Customers;149;2;673.1000000000001;2
14493.0;Dormant / At Risk;7;5;2383.2400000000002;0
15329.0;Dormant / At Risk;39;3;1049.6999999999998;0
15730.0;Dormant / At Risk;65;3;1120.8800000000003;0
15143.0;Regular Customers;225;1;259.45;2
17472.0;Regular Customers;191;3;710.2900000000002;2
13672.0;Regular Customers;301;2;186.39;2
13165.0;Dormant / At Risk;46;2;1021.4799999999999;0
16144.0;Regular Customers;246;1;175.2;2
13131.0;Dormant / At Risk;23;3;1073.2999999999997;0
17767.0;Dormant / At Risk;15;1;271.20000000000005;0
13291.0;Regular Customers;155;1;361.10999999999996;2
13273.0;Dormant / At Risk;113;1;138.97999999999996;0
15005.0;VIP / Loyalists;15;28;6316.569999999991;4
17811.0;VIP / Loyalists;4;38;7837.72999999999;4
14092.0;VIP / Loyalists;7;12;4076.910000000003;4
18136.0;Dormant / At Risk;63;3;784.3299999999998;0
15883.0;Dormant / At Risk;2;2;396.47999999999996;0
14902.0;Dormant / At Risk;25;1;332.66;0
17033.0;Dormant / At Risk;86;3;1030.1399999999999;0
18237.0;Dormant / At Risk;2;5;987.0999999999998;0
14536.0;Regular Customers;259;1;171.8;2
14491.0;Regular Customers;175;2;340.93;2
15289.0;Dormant / At Risk;29;3;939.7800000000003;0
15980.0;Dormant / At Risk;88;2;2398.8599999999997;0
17666.0;Dormant / At Risk;3;2;728.1599999999999;0
15113.0;Dormant / At Risk;9;3;3609.330000000001;0
16627.0;Dormant / At Risk;79;1;322.8;0
16050.0;Regular Customers;173;1;137.9;2
13294.0;Regular Customers;189;2;873.7399999999998;2
16447.0;Dormant / At Risk;135;1;259.0099999999998;0
14236.0;Dormant / At Risk;80;2;490.86;0
13675.0;Regular Customers;151;2;486.82000000000005;2
17368.0;Dormant / At Risk;23;8;1912.6700000000008;0
14973.0;Dormant / At Risk;107;3;1314.45;0
14143.0;Dormant / At Risk;133;1;115.8;0
17128.0;Regular Customers;334;1;157.09;2
